-- ACTION_1 --
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # hashCode: 23603144
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # id: com.android.systemui:id/scrim_behind
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # class: android.view.View
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_placeholder] # parent: androidx.test.uiautomator.UiObject2@850ec
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_placeholder] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.widget.RelativeLayout/android.view.ViewGroup/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.view.View
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_placeholder] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_placeholder] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_placeholder] # hashCode: 175287013
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_placeholder] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_placeholder] # description: null
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_placeholder] # id: com.google.android.apps.messaging:id/compose_message_placeholder
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_placeholder] # text: null
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_placeholder] # class: android.view.View
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_status] # parent: androidx.test.uiautomator.UiObject2@908dd
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_status] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.widget.RelativeLayout/android.view.ViewGroup/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout/android.widget.LinearLayout/android.view.ViewGroup/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_status] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_status] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_status] # hashCode: 231917074
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_status] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_status] # description: Now, SMS
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_status] # id: com.google.android.apps.messaging:id/message_status
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_status] # text: Now • SMS
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_status] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_timestamp] # parent: androidx.test.uiautomator.UiObject2@8c90c
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_timestamp] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.widget.RelativeLayout/android.view.ViewGroup/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_timestamp] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_timestamp] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_timestamp] # hashCode: 251920867
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_timestamp] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_timestamp] # description: null
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_timestamp] # id: com.google.android.apps.messaging:id/tombstone_timestamp
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_timestamp] # text: 12:28 PM
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/tombstone_timestamp] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # parent: androidx.test.uiautomator.UiObject2@ffb0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # hashCode: 146536564
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # description: 12:29 PM
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # id: com.android.systemui:id/clock
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # text: 12:29
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/focus_sink] # parent: androidx.test.uiautomator.UiObject2@87a37
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/focus_sink] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.widget.RelativeLayout/android.view.View
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/focus_sink] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/focus_sink] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/focus_sink] # hashCode: 84064698
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/focus_sink] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/focus_sink] # description: null
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/focus_sink] # id: com.google.android.apps.messaging:id/focus_sink
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/focus_sink] # text: null
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/focus_sink] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # parent: androidx.test.uiautomator.UiObject2@f0ac
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # hashCode: 36180065
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # id: com.android.systemui:id/cutout_space_view
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # class: android.view.View
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_text] # parent: androidx.test.uiautomator.UiObject2@8f618
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_text] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.widget.RelativeLayout/android.view.ViewGroup/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_text] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_text] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_text] # hashCode: 202553222
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_text] # clickable: true
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_text] # description: null
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_text] # id: com.google.android.apps.messaging:id/message_text
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_text] # text: Prueba ficheros test
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/message_text] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/conversation_title] # parent: androidx.test.uiautomator.UiObject2@881b9
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/conversation_title] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/conversation_title] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/conversation_title] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/conversation_title] # hashCode: 260515911
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/conversation_title] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/conversation_title] # description: Alejandro Garcia Fernandez
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/conversation_title] # id: com.google.android.apps.messaging:id/conversation_title
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/conversation_title] # text: Alejandro Garcia Fernandez
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/conversation_title] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_text] # parent: androidx.test.uiautomator.UiObject2@9a687
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_text] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.widget.RelativeLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.EditText
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_text] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_text] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_text] # hashCode: 158842447
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_text] # clickable: true
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_text] # description: null
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_text] # id: com.google.android.apps.messaging:id/compose_message_text
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_text] # text: Text message
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/compose_message_text] # class: android.widget.EditText
-- ACTION_3 --
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # parent: androidx.test.uiautomator.UiObject2@ffb0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # hashCode: 34812254
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # description: 12:29 PM
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # id: com.android.systemui:id/clock
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # text: 12:29
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # parent: androidx.test.uiautomator.UiObject2@f0ac
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # hashCode: 29169493
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # id: com.android.systemui:id/cutout_space_view
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # class: android.view.View
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/title] # parent: androidx.test.uiautomator.UiObject2@a623a
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/title] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ListView/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/title] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/title] # checkable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/title] # hashCode: 222915225
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/title] # clickable: false
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/title] # description: null
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/title] # id: com.google.android.apps.messaging:id/title
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/title] # text: Delete
UiSelector[RESOURCE_ID=com.google.android.apps.messaging:id/title] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # parent: androidx.test.uiautomator.UiObject2@dde7
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # xpath: //android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # hashCode: 132831551
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # id: com.android.systemui:id/scrim_in_front
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_in_front] # class: android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # parent: androidx.test.uiautomator.UiObject2@dde7
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # xpath: //android.widget.FrameLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # hashCode: 48882188
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # description: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # id: com.android.systemui:id/scrim_behind
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # text: null
UiSelector[RESOURCE_ID=com.android.systemui:id/scrim_behind] # class: android.view.View
-- ACTION_4 --
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # parent: androidx.test.uiautomator.UiObject2@ffb0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # hashCode: 75813841
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # clickable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # description: 12:29 PM
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # id: com.android.systemui:id/clock
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # text: 12:29
UiSelector[RESOURCE_ID=com.android.systemui:id/clock] # class: android.widget.TextView
UiSelector[RESOURCE_ID=android:id/alertTitle] # parent: androidx.test.uiautomator.UiObject2@ac014
UiSelector[RESOURCE_ID=android:id/alertTitle] # xpath: //android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.TextView
UiSelector[RESOURCE_ID=android:id/alertTitle] # numberOfChildren: 0
UiSelector[RESOURCE_ID=android:id/alertTitle] # checkable: false
UiSelector[RESOURCE_ID=android:id/alertTitle] # hashCode: 190645610
UiSelector[RESOURCE_ID=android:id/alertTitle] # clickable: false
UiSelector[RESOURCE_ID=android:id/alertTitle] # description: null
UiSelector[RESOURCE_ID=android:id/alertTitle] # id: android:id/alertTitle
UiSelector[RESOURCE_ID=android:id/alertTitle] # text: Delete this conversation?
UiSelector[RESOURCE_ID=android:id/alertTitle] # class: android.widget.TextView
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # parent: androidx.test.uiautomator.UiObject2@f0ac
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # xpath: //android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.View
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # numberOfChildren: 0
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # checkable: false
UiSelector[RESOURCE_ID=com.android.systemui:id/cutout_space_view] # hashCode: 221371405
